hip,bayer,con
30321,Pi-1,Dor
30324,Bet,CMa
30342,Nu,Pic
30343,Mu,Gem
30419,Eps,Mon
30438,Alp,Car
30520,Psi-1,Aur
30565,Pi-2,Dor
30788,Lam,CMa
30867,Bet,Mon
30883,Nu,Gem
31125,Xi-1,CMa
31137,Mu,Pic
31416,Xi-2,CMa
31564,Nu-1,CMa
31592,Nu-2,CMa
31681,Gam,Gem
31685,Nu,Pup
31700,Nu-3,CMa
31789,Psi-3,Aur
31832,Psi-2,Aur
31897,Zet,Men
32173,Psi-4,Aur
32246,Eps,Gem
32349,Alp,CMa
32362,Xi,Gem
32480,Psi-5,Aur
32562,Psi-6,Aur
32607,Alp,Pic
32759,Kap,CMa
32768,Tau,Pup
32844,Psi-7,Aur
32912,Iot,Vol
33018,The,Gem
33133,Psi-8,Aur
33152,Omi-1,CMa
33160,The,CMa
33302,Pi,CMa
33345,Mu,CMa
33347,Iot,CMa
33377,Psi-9,Aur
33384,The,Men
33579,Eps,CMa
33856,Sig,CMa
33927,Ome,Gem
33977,Omi-2,CMa
34045,Gam,CMa
34088,Zet,Gem
34444,Del,CMa
34473,Gam-1,Vol
34481,Gam-2,Vol
34693,Tau,Gem
34769,Del,Mon
35037,Ome,CMa
35228,Del,Vol
35264,Pi,Pup
35350,Lam,Gem
35415,Tau,CMa
35550,Del,Gem
35904,Eta,CMa
36039,Eps,Men
36041,Eps,CMi
36046,Iot,Gem
36188,Bet,CMi
36265,Eta,CMi
36284,Gam,CMi
36366,Rho,Gem
36377,Sig,Pup
36641,Del-1,CMi
36723,Del-2,CMi
36812,Del-3,CMi
36850,Alp,Gem
36962,Ups,Gem
37265,Omi,Gem
37279,Alp,CMi
37447,Alp,Mon
37504,Zet,Vol
37629,Sig,Gem
37740,Kap,Gem
37826,Bet,Gem
38016,Pi,Gem
38070,Omi,Pup
38170,Xi,Pup
38373,Zet,CMi
38538,Phi,Gem
38827,Chi,Car
39191,Ome-1,Cnc
39263,Ome-2,Cnc
39424,Chi,Gem
39429,Zet,Pup
39659,Mu-1,Cnc
39757,Rho,Pup
39780,Mu-2,Cnc
39794,Eps,Vol
39863,Zet,Mon
39953,Gam-2,Vel
40023,Psi,Cnc
40167,Zet-2,Cnc
40526,Bet,Cnc
40702,Alp,Cha
40817,Kap-1,Vol
40834,Kap-2,Vol
40843,Chi,Cnc
40881,Lam,Cnc
40888,The,Cha
41003,Eta,Vol
41037,Eps,Car
41312,Bet,Vol
41377,Phi-1,Cnc
41404,Phi-2,Cnc
41704,Omi,UMa
41816,Ups-1,Cnc
41822,The,Cnc
41909,Eta,Cnc
41940,Ups-2,Cnc
42313,Del,Hya
42334,Eta,Pyx
42402,Sig,Hya
42425,The,Vol
42438,Pi-1,UMa
42483,Zet,Pyx
42515,Bet,Pyx
42527,Pi-2,UMa
42536,Omi,Vel
42556,Eps,Cnc
42637,Eta,Cha
42799,Eta,Hya
42806,Gam,Cnc
42828,Alp,Pyx
42911,Del,Cnc
42913,Del,Vel
43100,Iot,Cnc
43103,Iot,Cnc
43109,Eps,Hya
43234,Rho,Hya
43409,Gam,Pyx
43584,Sig-1,Cnc
43587,Rho-1,Cnc
43813,Zet,Hya
43825,Del,Pyx
43834,Rho-2,Cnc
43908,Zet,Oct
43932,Sig-2,Cnc
43970,Omi-1,Cnc
44001,Omi-2,Cnc
44066,Alp,Cnc
44127,Iot,UMa
44154,Sig-3,Cnc
44382,Alp,Vol
44390,Rho,UMa
44405,Nu,Cnc
44471,Kap,UMa
44659,Ome,Hya
44798,Kap,Cnc
44816,Lam,Vel
44818,Tau,Cnc
44824,Kap,Pyx
44857,Sig-1,UMa
44946,Xi,Cnc
45001,Eps,Pyx
45038,Sig-2,UMa
45075,Tau,UMa
45170,Pi-1,Cnc
45238,Bet,Car
45336,The,Hya
45410,Pi-2,Cnc
45556,Iot,Car
45860,Alp,Lyn
45902,The,Pyx
45941,Kap,Vel
46026,Lam,Pyx
46107,Iot,Cha
46146,Kap,Leo
46390,Alp,Hya
46454,Ome,Leo
